"Time (UTC)","Barometric Pressure (mbar)","Temperature (degrees F)","Dewpoint (degrees F)","Relative Humidity (%)","Wind speed (mph)","Wind direction (degrees)","Analysis Barometric Pressure (mbar)","Analysis Temperature (degrees F)","Analysis Dewpoint (degrees F)","Analysis Relative Humidity (%)","Analysis Wind speed (mph)","Analysis Wind direction (degrees)"
2017-01-13 09:02:00,1014.60,47.0,26.2,43,0,0,1014.34,23.5,27.9,100,0.7,38
2017-01-13 09:07:00,1014.60,46.0,25.9,44,0,0,1014.33,23.5,27.8,100,0.7,38
2017-01-13 09:12:00,1014.60,46.0,26.4,45,0,0,1014.34,23.0,27.9,100,0.7,38
2017-01-13 09:17:00,1014.60,46.0,26.9,46,0,0,1014.30,23.1,27.9,100,0.7,38
2017-01-13 09:22:00,1014.60,46.0,26.9,46,0,76,1014.33,23.1,27.9,100,0.7,33
2017-01-13 09:27:00,1014.60,46.0,26.9,46,0,76,1015.14,23.1,27.9,100,0.7,33
2017-01-13 09:32:00,1014.60,46.0,26.9,46,0,76,1013.86,23.1,27.9,100,0.7,33
2017-01-13 09:42:00,1014.70,46.0,26.4,45,1,76,1015.59,23.1,27.9,100,0.7,33
2017-01-13 09:47:00,1014.60,46.0,26.9,46,0,76,1015.68,23.1,27.9,100,0.7,33
2017-01-13 09:52:00,1014.60,45.0,26.0,47,0,0,1013.99,22.2,28.7,100,0.5,335
2017-01-13 09:57:00,1014.70,45.0,26.5,47,0,0,1014.91,22.2,28.7,100,0.5,335
2017-01-13 10:07:00,1014.70,44.0,27.5,52,0,0,1015.49,22.2,28.7,100,0.5,335
2017-01-13 10:12:00,1014.70,44.0,27.1,51,0,76,1015.49,22.2,28.7,100,0.5,329
2017-01-13 10:17:00,1014.70,44.0,28.0,52,0,76,1015.01,22.2,28.7,100,0.5,329
2017-01-13 10:22:00,1014.80,44.0,28.0,52,0,0,1014.43,22.2,28.7,100,0.5,335
2017-01-13 10:27:00,1014.80,44.0,28.0,52,0,0,1014.43,22.2,28.7,100,0.5,335
2017-01-13 10:32:00,1015.00,44.0,28.9,54,0,0,1014.40,22.2,28.7,100,0.5,335
2017-01-13 10:37:00,1015.10,43.0,28.4,56,0,0,1014.18,22.2,28.7,100,0.5,335
2017-01-13 10:42:00,1015.00,43.0,27.9,54,0,0,1013.87,22.2,28.7,100,0.5,335
2017-01-13 10:52:00,1015.10,43.0,27.9,54,0,0,1015.01,21.5,28.6,100,0.4,357
2017-01-13 10:57:00,1015.20,43.0,27.9,54,0,0,1015.03,21.5,28.6,100,0.4,357
2017-01-13 11:02:00,1015.20,43.0,28.4,56,0,0,1014.73,21.1,28.6,100,0.4,357
2017-01-13 11:07:00,1015.20,42.0,27.9,56,0,0,1014.45,21.1,28.6,100,0.4,357
2017-01-13 11:12:00,1015.20,42.0,27.9,56,0,0,1014.46,21.1,28.6,100,0.4,357
2017-01-13 11:17:00,1015.20,42.0,28.3,58,0,0,1014.46,21.1,28.6,100,0.4,357
2017-01-13 11:22:00,1015.10,42.0,28.3,58,0,0,1014.46,21.1,28.6,100,0.4,357
2017-01-13 11:27:00,1015.10,43.0,29.2,58,0,0,1014.03,21.1,28.6,100,0.4,357
2017-01-13 11:32:00,1015.10,43.0,28.8,56,0,76,1014.11,21.1,28.6,100,0.4,351
2017-01-13 11:37:00,1015.10,43.0,28.4,56,0,76,1015.40,21.1,28.6,100,0.4,351
2017-01-13 11:42:00,1015.00,43.0,27.9,54,0,76,1015.53,21.1,28.6,100,0.4,351
2017-01-13 11:47:00,1014.70,44.0,28.9,54,1,76,1015.58,21.1,28.6,100,0.4,351
2017-01-13 11:52:00,1014.60,44.0,28.4,54,0,76,1014.50,21.4,28.6,100,0.5,109
2017-01-13 11:57:00,1014.70,44.0,27.5,52,1,76,1014.50,21.4,28.6,100,0.5,109
2017-01-13 12:07:00,1014.80,44.0,28.0,52,0,78,1013.87,21.4,28.6,100,0.5,109
2017-01-13 12:12:00,1014.80,44.0,28.0,52,1,78,1013.84,21.4,28.6,100,0.5,109
2017-01-13 12:17:00,1014.70,44.0,28.0,52,1,78,1013.84,21.4,28.6,100,0.5,109
2017-01-13 12:27:00,1014.80,44.0,27.5,52,0,78,1013.86,21.4,28.6,100,0.5,109
2017-01-13 12:32:00,1014.80,44.0,27.1,51,0,78,1013.87,21.4,28.6,100,0.5,109
2017-01-13 12:37:00,1014.80,44.0,27.1,51,1,78,1013.87,21.4,28.6,100,0.5,109
2017-01-13 12:42:00,1014.80,44.0,27.1,51,0,78,1015.64,21.4,28.6,100,0.5,109
2017-01-13 12:47:00,1015.00,44.0,27.5,52,0,78,1015.83,21.4,28.6,100,0.5,109
2017-01-13 12:52:00,1014.80,44.0,27.5,52,0,78,1014.54,20.5,28.2,100,0.7,108
2017-01-13 12:57:00,1015.00,44.0,27.5,52,1,88,1014.54,20.5,28.2,100,0.6,108
2017-01-13 13:02:00,1015.00,44.0,28.0,52,1,88,1014.54,20.5,28.2,100,0.6,108
2017-01-13 13:12:00,1015.00,44.0,27.5,52,0,88,1014.32,20.5,28.2,100,0.7,108
2017-01-13 13:17:00,1015.00,44.0,27.5,52,0,88,1014.32,20.5,28.2,100,0.7,108
2017-01-13 13:22:00,1015.00,44.0,27.5,52,0,88,1015.43,20.5,28.2,100,0.7,108
2017-01-13 13:27:00,1015.00,44.0,27.5,52,0,88,1014.56,20.6,28.2,100,0.7,108
2017-01-13 13:32:00,1015.00,44.0,28.0,52,0,0,1013.90,20.6,28.2,100,0.7,113
2017-01-13 13:42:00,1015.10,43.0,27.9,54,0,0,1015.77,20.7,28.2,100,0.7,113
2017-01-13 13:47:00,1015.10,43.0,27.9,54,0,0,1015.99,20.7,28.2,100,0.7,113
2017-01-13 13:52:00,1015.20,43.0,27.9,54,0,0,1014.22,21.4,28.6,100,0.3,47
2017-01-13 13:57:00,1015.30,43.0,27.5,54,0,0,1014.20,21.1,28.6,100,0.3,47
2017-01-13 14:02:00,1015.20,43.0,28.8,56,0,0,1014.90,21.1,28.6,100,0.3,47
2017-01-13 14:07:00,1015.20,42.0,26.6,54,0,0,1014.81,21.1,28.5,100,0.3,47
2017-01-13 14:12:00,1015.20,43.0,27.1,52,0,88,1014.72,21.1,28.6,100,0.3,41
2017-01-13 14:17:00,1015.20,44.0,27.5,52,0,88,1014.86,21.1,28.6,100,0.3,41
2017-01-13 14:32:00,1015.40,42.0,29.1,59,0,88,1014.88,21.1,28.6,100,0.3,41
2017-01-13 14:37:00,1015.40,42.0,29.9,62,0,88,1015.05,21.1,28.6,100,0.3,41
2017-01-13 14:42:00,1015.40,42.0,29.9,62,0,0,1015.56,21.1,28.6,100,0.3,47
2017-01-13 14:47:00,1015.50,42.0,29.9,62,0,0,1016.04,21.1,28.6,100,0.3,47
2017-01-13 14:57:00,1015.40,43.0,30.1,60,0,88,1014.63,22.7,27.6,100,0.8,69
2017-01-13 15:07:00,1015.50,43.0,29.7,58,0,0,1015.66,22.7,27.6,100,0.8,74
2017-01-13 15:12:00,1015.50,44.0,29.3,55,0,0,1015.03,22.7,27.6,100,0.8,74
2017-01-13 15:17:00,1015.50,44.0,28.4,54,0,78,1015.07,22.7,27.6,100,0.8,69
2017-01-13 15:22:00,1015.60,45.0,28.4,52,2,83,1015.19,22.7,27.6,100,0.8,69
2017-01-13 15:32:00,1015.50,47.0,26.8,44,2,79,1014.69,22.7,27.6,100,0.8,69
2017-01-13 15:37:00,1015.60,49.0,27.5,43,3,123,1014.69,22.7,27.6,100,0.8,69
2017-01-13 15:42:00,1015.60,50.0,26.6,40,3,148,1016.37,22.7,27.6,100,0.8,69
2017-01-13 15:47:00,1015.60,51.0,26.9,38,4,121,1016.65,22.7,27.6,100,0.8,69
2017-01-13 15:52:00,1015.60,51.0,26.3,38,4,149,1015.62,25.1,28.4,100,1.9,134
2017-01-13 15:57:00,1015.60,52.0,26.5,36,4,163,1015.62,25.1,28.4,100,1.9,134
2017-01-13 16:02:00,1015.70,52.0,26.5,36,3,121,1016.30,25.1,28.4,100,1.9,134
2017-01-13 16:07:00,1015.80,52.0,26.5,36,3,158,1016.85,25.1,28.4,100,1.9,134
2017-01-13 16:17:00,1016.00,52.0,26.5,36,2,153,1016.35,25.1,28.4,100,1.9,134
2017-01-13 16:22:00,1016.10,53.0,27.4,36,2,142,1015.55,25.1,28.4,100,1.9,134
2017-01-13 16:27:00,1016.10,53.0,28.1,37,1,142,1015.54,25.1,28.4,100,1.9,134
2017-01-13 16:32:00,1016.20,53.0,28.1,37,1,143,1015.32,25.1,28.4,100,1.9,134
2017-01-13 16:37:00,1016.50,53.0,28.1,37,1,143,1015.33,25.1,28.4,100,1.9,134
2017-01-13 16:42:00,1016.60,53.0,28.1,37,0,143,1014.84,25.1,28.4,100,1.9,134
2017-01-13 16:47:00,1016.60,53.0,27.4,36,0,143,1016.62,25.1,28.4,100,1.9,134
2017-01-13 16:52:00,1016.60,54.0,29.0,37,0,143,1016.33,24.4,29.4,100,1.1,74
2017-01-13 16:57:00,1016.50,54.0,28.3,36,0,144,1016.35,24.4,29.4,100,1.1,74
2017-01-13 17:02:00,1016.60,54.0,28.3,36,0,144,1016.43,24.4,29.4,100,1.1,74
2017-01-13 17:07:00,1016.70,55.0,28.5,35,1,149,1017.21,24.4,29.4,100,1.1,74
2017-01-13 17:12:00,1016.60,55.0,28.5,35,3,129,1017.19,24.4,29.4,100,1.1,74
2017-01-13 17:17:00,1016.70,55.0,27.9,35,3,138,1017.20,24.4,29.4,100,1.1,74
2017-01-13 17:22:00,1016.70,56.0,28.0,33,3,136,1016.31,24.4,29.4,100,1.1,74
2017-01-13 17:27:00,1016.70,56.0,27.3,33,3,133,1015.68,24.4,29.4,100,1.1,74
2017-01-13 17:32:00,1016.70,56.0,27.3,33,2,139,1015.68,24.4,29.4,100,1.1,74
2017-01-13 17:37:00,1016.60,57.0,27.4,32,3,134,1015.68,24.4,29.4,100,1.1,74
2017-01-13 17:42:00,1016.50,57.0,26.7,30,4,142,1017.28,24.4,29.4,100,1.1,74
2017-01-13 17:48:00,1016.50,58.0,26.8,30,4,133,1017.55,24.4,29.4,100,1.1,74
2017-01-13 17:53:00,1016.20,58.0,27.5,30,3,115,1015.64,29.3,29.4,100,1.8,100
2017-01-13 17:58:00,1013.90,58.0,27.5,30,4,130,1015.69,29.7,29.4,99,1.7,100
2017-01-13 18:55:00,1013.10,,,,,,1014.74,,,,,
2017-01-13 19:00:00,1015.40,64.0,29.4,26,0,98,1014.71,32.6,30.2,90,0.7,173
2017-01-13 19:05:00,1015.30,64.0,29.4,26,0,328,1014.66,32.6,30.2,90,0.7,173
2017-01-13 19:10:00,1015.20,64.0,29.4,26,0,328,1013.77,32.6,30.2,90,0.7,173
2017-01-13 19:15:00,1014.80,64.0,29.4,26,0,274,1016.53,32.6,30.2,90,0.7,173
2017-01-13 19:25:00,1014.80,64.0,28.4,26,1,360,1012.99,32.6,30.2,90,0.6,173
2017-01-13 19:30:00,1011.80,65.0,28.3,24,1,313,1012.99,32.6,30.2,90,0.6,173
2017-01-13 19:40:00,1011.80,65.0,29.3,26,2,248,1013.02,32.6,29.3,87,0.7,173
2017-01-13 19:45:00,1011.80,66.0,30.1,25,2,254,1013.02,32.6,29.3,87,0.7,173
2017-01-13 19:50:00,1011.80,66.0,30.1,25,2,264,1014.35,36.7,30.6,78,1.4,310
2017-01-13 19:55:00,1011.70,66.0,30.1,25,2,256,1014.28,36.7,30.7,78,1.4,310
2017-01-13 20:00:00,1011.50,65.0,29.3,26,3,293,1014.34,36.7,30.7,78,1.4,310
2017-01-13 20:05:00,1011.50,65.0,28.3,24,2,318,1014.34,36.7,30.7,78,1.4,310
2017-01-13 20:11:00,1011.30,65.0,29.3,26,2,306,1014.09,36.7,30.7,78,1.4,310
2017-01-13 20:16:00,1011.10,65.0,29.3,26,2,355,1014.23,36.7,30.7,78,1.4,310
2017-01-13 20:26:00,1011.20,65.0,28.3,24,3,312,1011.70,36.7,30.7,78,1.4,310
2017-01-13 20:31:00,1011.10,66.0,29.2,25,3,308,1011.89,36.7,30.7,78,1.4,310
2017-01-13 20:36:00,1010.90,66.0,28.2,23,3,317,1011.89,36.7,30.7,78,1.4,310
2017-01-13 20:41:00,1010.80,67.0,28.0,23,3,341,1011.89,36.7,30.8,79,1.4,310
2017-01-13 20:46:00,1010.90,67.0,28.0,23,2,325,1011.92,36.7,30.8,79,1.4,310
2017-01-13 20:51:00,1011.00,67.0,28.0,23,2,321,1013.71,37.8,26.1,62,2.1,278
2017-01-13 21:01:00,1010.90,68.0,25.4,19,3,333,1012.66,37.8,25.6,61,2.1,278
2017-01-13 21:06:00,1011.00,69.0,25.0,19,3,333,1012.66,37.8,25.6,61,2.1,278
2017-01-13 21:11:00,1010.90,69.0,23.7,17,4,338,1012.66,37.8,25.6,61,2.1,278
2017-01-13 21:16:00,1010.90,69.0,22.4,17,4,306,1012.66,37.8,25.6,61,2.1,278
2017-01-13 21:21:00,1011.00,70.0,24.6,18,3,294,1012.66,37.8,25.6,61,2.1,278
2017-01-13 21:26:00,1010.80,69.0,25.0,19,3,300,1012.66,37.8,25.6,61,2.1,278
2017-01-13 21:31:00,1010.30,69.0,23.7,17,3,344,1011.90,37.8,25.6,61,2.1,278
2017-01-13 21:36:00,1010.20,69.0,25.0,19,2,11,1011.92,37.8,26.1,62,2.1,278
2017-01-13 21:41:00,1010.20,69.0,25.0,19,2,346,1011.92,37.8,26.1,62,2.1,278
2017-01-13 21:46:00,1010.30,69.0,25.0,19,3,342,1011.92,37.8,26.3,62,2.1,278
2017-01-13 21:56:00,1013.40,69.0,25.0,19,2,298,1014.83,38.7,23.5,53,1.0,189
2017-01-13 22:01:00,1013.70,69.0,25.0,19,2,265,1014.34,38.7,23.5,53,1.0,189
2017-01-13 22:07:00,1012.80,69.0,25.0,19,2,263,1014.36,38.7,23.5,53,1.0,189
2017-01-13 22:12:00,1013.00,68.0,25.4,19,3,252,1013.70,38.7,23.4,53,1.0,189
2017-01-13 22:22:00,1013.00,68.0,25.4,19,3,290,1013.92,38.7,23.4,53,1.0,189
2017-01-13 22:27:00,1013.20,67.0,29.0,24,4,268,1013.50,38.7,23.4,53,1.0,189
2017-01-13 22:32:00,1013.20,66.0,30.1,25,3,315,1013.50,38.7,23.3,53,1.0,189
2017-01-13 22:37:00,1013.20,66.0,30.1,25,2,302,1014.44,38.7,23.3,53,1.0,189
2017-01-13 22:42:00,1013.50,66.0,30.1,25,3,316,1013.16,38.7,23.3,53,1.0,189
2017-01-13 22:52:00,1013.50,65.0,29.3,26,3,306,1014.24,36.6,27.7,69,2.0,276
2017-01-13 22:58:00,1013.50,65.0,29.3,26,3,317,1014.85,36.6,27.7,69,2.0,276
2017-01-13 23:03:00,1013.60,65.0,29.3,26,3,314,1014.26,36.6,27.7,69,2.0,276
2017-01-13 23:08:00,1013.50,65.0,29.3,26,2,321,1014.78,36.6,27.7,69,2.0,276
2017-01-13 23:12:00,1013.50,64.0,28.4,26,3,313,1014.78,36.6,27.7,69,2.0,276
2017-01-13 23:17:00,1013.60,64.0,28.4,26,3,344,1014.78,36.6,27.7,69,2.0,276
2017-01-13 23:23:00,1013.40,64.0,28.4,26,2,334,1014.23,36.6,27.7,69,2.0,276
2017-01-13 23:27:00,1013.50,64.0,28.4,26,2,330,,,,,,
2017-01-13 23:28:00,1013.50,64.0,28.4,26,2,330,1014.23,36.6,27.7,69,2.0,276
2017-01-13 23:38:00,1013.60,64.0,28.4,26,2,343,1013.97,36.6,27.7,69,2.0,276
2017-01-13 23:42:00,1014.00,64.0,29.4,26,2,302,1015.45,36.6,27.7,69,2.0,276
2017-01-13 23:47:00,1014.00,64.0,29.4,26,2,281,1012.39,36.6,27.7,69,2.0,276
2017-01-13 23:57:00,1014.20,63.0,31.1,30,3,288,,,,,,
2017-01-14 00:03:00,1014.10,63.0,30.2,28,3,306,1014.25,35.0,29.8,81,2.6,280
2017-01-14 00:07:00,1013.90,62.0,30.2,29,4,338,1014.25,35.0,29.8,81,2.6,280
2017-01-14 00:13:00,1013.90,62.0,30.2,29,3,314,1013.70,35.0,29.8,81,2.6,280
2017-01-14 00:18:00,1013.80,62.0,30.2,29,1,302,1013.70,35.0,29.8,81,2.6,280
2017-01-14 00:28:00,1013.80,61.0,30.1,30,1,325,1013.68,35.0,29.8,81,2.6,280
2017-01-14 00:33:00,1013.80,62.0,31.0,31,1,329,1013.70,35.0,29.8,81,2.6,280
2017-01-14 00:38:00,1013.60,61.0,31.7,32,1,309,1012.72,35.0,29.8,81,2.6,280
2017-01-14 00:48:00,1013.60,61.0,31.7,32,0,329,1012.84,35.0,29.8,81,2.6,280
2017-01-14 00:53:00,1013.60,60.0,31.6,33,0,311,1013.97,33.8,30.6,87,0.3,188
2017-01-14 00:58:00,1013.60,60.0,31.6,33,0,0,1014.41,33.8,30.6,87,0.3,194
2017-01-14 01:03:00,1013.80,60.0,32.3,34,0,312,1014.47,33.8,30.6,87,0.3,188
2017-01-14 01:08:00,1013.80,60.0,32.3,34,1,288,1015.02,33.8,30.6,87,0.3,188
2017-01-14 01:18:00,1013.80,60.0,32.3,34,0,288,1014.48,33.8,30.6,87,0.3,188
2017-01-14 01:23:00,1013.70,60.0,33.0,35,0,288,1014.52,33.8,30.6,87,0.3,188
2017-01-14 01:28:00,1013.80,59.0,32.8,37,0,288,1014.51,33.8,30.6,87,0.3,188
2017-01-14 01:33:00,1014.00,59.0,32.8,37,0,285,1014.81,33.8,30.6,87,0.3,188
2017-01-14 01:38:00,1014.10,59.0,32.1,36,1,259,1014.58,33.8,30.6,87,0.3,188
2017-01-14 01:43:00,1013.90,59.0,32.1,36,1,263,1012.34,33.8,30.6,87,0.3,188
2017-01-14 01:48:00,1014.10,59.0,32.1,36,1,291,1012.49,33.8,30.6,87,0.3,188
2017-01-14 01:53:00,1014.10,59.0,32.1,36,0,291,1016.19,31.4,32.6,100,1.2,297
2017-01-14 01:58:00,1014.00,59.0,32.8,37,0,291,1016.19,31.4,32.6,100,1.2,297
2017-01-14 02:03:00,1014.20,58.0,31.9,37,0,0,1016.19,31.4,32.6,100,1.2,303
2017-01-14 02:08:00,1014.20,58.0,31.9,37,0,0,1015.97,31.4,32.6,100,1.2,303
2017-01-14 02:13:00,1014.10,58.0,31.9,37,0,0,1015.97,31.4,32.6,100,1.2,303
2017-01-14 02:23:00,1014.00,58.0,31.9,37,0,319,1016.19,31.4,32.6,100,1.2,297
2017-01-14 02:28:00,1014.00,58.0,31.9,37,0,318,1015.53,31.4,32.6,100,1.2,297
2017-01-14 02:33:00,1014.30,58.0,31.9,37,0,278,1015.42,31.4,32.6,100,1.2,297
2017-01-14 02:38:00,1014.40,58.0,32.5,38,0,277,1015.46,31.4,32.6,100,1.2,297
2017-01-14 02:48:00,1014.10,58.0,32.5,38,0,277,1014.78,31.4,32.6,100,1.2,297
2017-01-14 02:53:00,1014.30,58.0,31.9,37,1,248,1015.85,30.6,32.8,100,0.5,255
2017-01-14 03:03:00,1014.30,58.0,31.9,37,2,268,1015.69,30.6,32.8,100,0.5,255
2017-01-14 03:08:00,1014.30,58.0,31.2,36,0,270,1015.69,30.6,32.8,100,0.5,255
2017-01-14 03:13:00,1014.40,58.0,31.2,36,0,270,1015.45,30.6,32.8,100,0.5,255
2017-01-14 03:18:00,1014.40,58.0,31.2,36,0,270,1015.78,30.6,32.8,100,0.5,255
2017-01-14 03:23:00,1014.40,58.0,31.9,37,0,270,1015.44,30.6,32.8,100,0.5,255
2017-01-14 03:28:00,1014.40,58.0,31.2,36,0,270,1015.11,30.6,32.8,100,0.5,255
2017-01-14 03:33:00,1014.40,58.0,31.9,37,0,0,1015.22,30.6,32.8,100,0.5,261
2017-01-14 03:38:00,1014.50,58.0,31.9,37,0,0,1014.27,30.6,32.8,100,0.5,261
2017-01-14 03:43:00,1014.60,57.0,31.6,38,0,0,1014.27,30.6,32.8,100,0.5,261
2017-01-14 03:48:00,1014.60,57.0,31.0,37,0,0,1014.24,30.6,32.8,100,0.5,261
2017-01-14 03:58:00,1014.50,57.0,32.3,38,0,0,1015.44,28.2,32.5,100,0.7,356
2017-01-14 04:09:00,1014.30,57.0,32.3,38,0,0,1015.33,28.2,32.5,100,0.7,356
2017-01-14 04:13:00,1014.40,57.0,32.9,39,0,0,1014.66,28.2,32.5,100,0.7,356
2017-01-14 04:18:00,1014.50,57.0,32.9,39,1,248,1014.65,28.2,32.5,100,0.7,350
2017-01-14 04:28:00,1014.80,57.0,32.9,39,2,241,1014.72,28.2,32.5,100,0.7,350
2017-01-14 04:33:00,1014.50,57.0,32.9,39,0,240,1014.69,28.2,32.5,100,0.7,350
2017-01-14 04:44:00,1014.60,57.0,32.9,39,0,240,1013.74,28.2,32.5,100,0.7,350
2017-01-14 04:48:00,1014.50,57.0,32.9,39,1,204,1013.76,28.2,32.5,100,0.7,350
2017-01-14 04:53:00,1014.20,56.0,32.0,39,0,196,1015.20,29.4,33.2,100,0.8,38
2017-01-14 04:58:00,1014.60,56.0,32.6,41,1,194,1015.20,29.4,33.2,100,0.8,38
2017-01-14 05:03:00,1014.50,56.0,32.6,41,2,182,1015.20,29.4,33.2,100,0.8,38
2017-01-14 05:08:00,1014.60,56.0,32.6,41,1,182,1015.64,29.4,33.2,100,0.8,38
2017-01-14 05:13:00,1014.50,56.0,32.6,41,0,182,1015.22,29.4,33.2,100,0.8,38
2017-01-14 05:18:00,1014.30,56.0,32.6,41,0,166,1015.16,29.4,33.2,100,0.8,38
2017-01-14 05:23:00,1014.20,56.0,33.2,42,1,150,1014.42,29.4,33.2,100,0.8,38
2017-01-14 05:28:00,1014.40,56.0,33.2,42,1,130,1014.45,29.4,33.2,100,0.8,38
2017-01-14 05:33:00,1014.50,56.0,33.2,42,1,133,1014.45,29.4,33.2,100,0.8,38
2017-01-14 05:38:00,1014.10,56.0,33.2,42,2,216,1014.45,29.4,33.2,100,0.8,38
2017-01-14 05:43:00,1014.50,56.0,33.2,42,4,129,1013.50,29.4,33.2,100,0.8,38
2017-01-14 05:48:00,1014.80,56.0,32.0,39,3,123,1013.44,29.4,33.2,100,0.8,38
2017-01-14 05:53:00,1014.40,57.0,33.5,41,1,65,1015.55,28.5,33.6,100,0.7,2
2017-01-14 05:58:00,1014.90,57.0,32.9,39,1,205,1015.17,28.5,33.6,100,0.7,2
2017-01-14 06:03:00,1014.60,57.0,33.5,41,2,234,1014.26,28.5,33.6,100,0.7,2
2017-01-14 06:08:00,1014.30,57.0,33.5,41,2,120,1014.18,28.5,33.6,100,0.7,2
2017-01-14 06:13:00,1014.10,57.0,33.5,41,0,207,1014.42,28.5,33.6,100,0.7,2
2017-01-14 06:18:00,1013.90,57.0,33.5,41,2,86,1014.42,28.5,33.6,100,0.7,2
2017-01-14 06:23:00,1014.00,57.0,33.5,41,3,157,1014.42,28.5,33.6,100,0.7,2
2017-01-14 06:28:00,1014.30,57.0,33.5,41,3,211,1014.42,28.5,33.6,100,0.7,2
2017-01-14 06:33:00,1014.40,57.0,33.5,41,3,191,1014.42,28.5,33.6,100,0.7,2
2017-01-14 06:38:00,1014.40,57.0,33.5,41,3,129,1014.42,28.5,33.6,100,0.7,2
2017-01-14 06:43:00,1014.20,57.0,33.5,41,2,171,1013.24,28.5,33.6,100,0.7,2
2017-01-14 06:48:00,1014.20,57.0,33.5,41,3,186,1013.35,28.5,33.6,100,0.7,2
2017-01-14 06:53:00,1013.90,57.0,34.1,42,3,257,1015.20,27.8,33.6,100,0.6,250
2017-01-14 06:58:00,1014.20,56.0,33.2,42,2,122,1014.61,27.8,33.6,100,0.6,250
2017-01-14 07:03:00,1014.00,56.0,33.2,42,2,28,1014.61,27.8,33.6,100,0.6,250
2017-01-14 07:08:00,1013.90,56.0,33.2,42,1,5,1014.66,27.8,33.6,100,0.6,250
2017-01-14 07:13:00,1014.30,56.0,33.2,42,1,135,1014.52,27.8,33.6,100,0.6,250
2017-01-14 07:18:00,1014.30,56.0,33.8,42,2,45,1014.52,27.8,33.6,100,0.6,250
2017-01-14 07:23:00,1014.10,56.0,33.2,42,2,33,1014.52,27.8,33.6,100,0.6,250
2017-01-14 07:28:00,1014.10,56.0,33.8,42,1,69,1014.52,27.8,33.6,100,0.6,250
2017-01-14 07:33:00,1014.20,56.0,33.2,42,1,216,1014.52,27.8,33.6,100,0.6,250
2017-01-14 07:38:00,1014.00,56.0,33.2,42,2,209,1014.52,27.8,33.6,100,0.6,250
2017-01-14 07:43:00,1014.00,56.0,33.2,42,2,217,1013.70,27.8,33.6,100,0.6,250
2017-01-14 07:48:00,1013.80,56.0,33.8,42,0,217,1013.53,27.8,33.6,100,0.6,250
2017-01-14 07:53:00,1013.80,56.0,33.8,42,0,235,1015.04,28.0,33.1,100,1.1,86
